standardized_state,state_name,record_type,source_name,coverage_scope,court_level,refresh_date,record_count
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Madison County,N/A,2025-08-04,333
AL,Alabama,ARREST,Jackson County,STATEWIDE,N/A,2024-05-02,544
AL,Alabama,ARREST,Etowah County,Etowah,N/A,2024-05-02,3503
AL,Alabama,ARREST,St Clair County,STATEWIDE,N/A,2025-07-07,11196
AL,Alabama,COURT,Uncategorized,Escambia County,COUNTY,2024-05-02,16
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Franklin County,N/A,2025-08-04,34
AR,Arkansas,ARREST,Randolph County,STATEWIDE,N/A,2025-07-07,3322
AR,Arkansas,ARREST,Crittenden County,STATEWIDE,N/A,2024-05-02,1012
AR,Arkansas,WARRANT,Ar Kensett Most Wanted,STATEWIDE,N/A,2024-05-02,155
AR,Arkansas,ARREST,Arkansas Arrest,Lonoke County,N/A,2025-07-22,617
AR,Arkansas,ARREST,Arkansas Arrest,Carroll County,N/A,2025-07-22,527
AR,Arkansas,ARREST,Arrest/Us/National/Arrests,Hot Spring County,N/A,2025-08-04,20
AR,Arkansas,ARREST,Ouachita County,STATEWIDE,N/A,2024-05-02,545
AR,Arkansas,ARREST,Arkansas Arrest,Randolph County,N/A,2025-07-22,177
AR,Arkansas,ARREST,Howard County,STATEWIDE,N/A,2025-07-16,1492
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Clay,COUNTY,2024-05-02,5468
AR,Arkansas,ARREST,Arkansas Arrest,Desha County,N/A,2025-07-22,66
AR,Arkansas,ARREST,Arkansas Arrest,Jefferson County,N/A,2025-07-22,286
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Madison,COUNTY,2024-06-28,4933
AR,Arkansas,ARREST,Garland County,STATEWIDE,N/A,2024-05-02,1483
AR,Arkansas,ARREST,Marion County,STATEWIDE,N/A,2024-05-02,184
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Izard,COUNTY,2024-06-28,4338
AR,Arkansas,ARREST,Pulaski County,Pulaski,N/A,2024-05-02,6211
AR,Arkansas,ARREST,Arkansas Arrest,Nevada County,N/A,2025-07-22,143
AR,Arkansas,ARREST,Arrest/Us/National/Arrests,Greene County,N/A,2025-08-04,71
AR,Arkansas,ARREST,Drew County,STATEWIDE,N/A,2025-07-07,3924
AR,Arkansas,ARREST,Searcy County,STATEWIDE,N/A,2025-07-07,1325
AR,Arkansas,ARREST,Montgomery County,STATEWIDE,N/A,2024-05-02,196
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Lawrence,COUNTY,2024-06-28,5216
AR,Arkansas,ARREST,Arkansas Arrest,Mississippi County,N/A,2025-07-22,739
AR,Arkansas,WARRANT,Ar Independence County Most Wanted,STATEWIDE,N/A,2024-05-02,45
AR,Arkansas,ARREST,Arrest/Us/National/Arrests,Cross County,N/A,2025-08-04,30
AR,Arkansas,ARREST,Crittenden County,Crittenden,N/A,2025-07-07,76533
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Searcy,COUNTY,2024-06-28,2834
AR,Arkansas,ARREST,Clay County,STATEWIDE,N/A,2024-05-02,2
AR,Arkansas,ARREST,Boone County,STATEWIDE,N/A,2024-05-02,598
AR,Arkansas,ARREST,Calhoun County,STATEWIDE,N/A,2025-07-07,843
AR,Arkansas,ARREST,St. Francis County,St. Francis,N/A,2025-01-14,14112
AR,Arkansas,WARRANT,Ar Washington Most Wanted,STATEWIDE,N/A,2024-05-02,3
AR,Arkansas,ARREST,Arkansas Arrest,Yell County,N/A,2025-07-22,224
AR,Arkansas,ARREST,Poinsett County,Poinsett,N/A,2025-07-07,11679
AR,Arkansas,ARREST,Arkansas Arrest,Crittenden County,N/A,2025-07-22,1106
AR,Arkansas,COURT,Arkansas Administrative Office Of The Courts,Pope,COUNTY,2024-06-28,27666
